current_result,evidence_sources,expected_behavior,gap_class,notes,priority_reasons,priority_score,query,reason_not_to_apply_automatically,recommended_destination_artifact,related_existing_entries,resolved_ir_ids,review_id,review_status,reviewed_at,reviewer,risk,schema_version,search_direction,source_bundle_id,source_catalog_version,source_evidence,supersedes
partial related terms only,"[""phrase_miss_review_v1"", ""phase7i_review_packet"", ""search_index_replay""]",Remain no-hit unless future reviewed dictionary or phrase evidence changes classification,should_remain_no_hit,Explicit non-action carry-forward from Phase 7H/7I.,"[""phase7h_classification"", ""no_auto_phrase_routing""]",10,Grand chose,Compositional/idiomatic phrase must not be decomposed into grand + chose automatically.,,[],[],phase7j_gap_0011,deferred,,,high,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""phrase_review"", ""ir_id"": ""phase7h_phrase_0002"", ""field_path"": ""shared/phrase_review/phrase_miss_review_v1.jsonl"", ""excerpt"": ""Phase 7H category compositional_phrase_should_decompose; recommendation evidence_only.""}]","[""phase7h_phrase_0002""]"
partial related terms only,"[""phrase_miss_review_v1"", ""phase7i_review_packet"", ""search_index_replay""]",Remain no-hit unless future reviewed dictionary or phrase evidence changes classification,true_dictionary_entry_gap,Explicit non-action carry-forward from Phase 7H/7I.,"[""phase7h_classification"", ""no_auto_phrase_routing""]",20,grande bouche,Whole phrase missing; related single terms insufficient for safe routing.,,[],[],phase7j_gap_0012,candidate,,,medium,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""phrase_review"", ""ir_id"": ""phase7h_phrase_0003"", ""field_path"": ""shared/phrase_review/phrase_miss_review_v1.jsonl"", ""excerpt"": ""Phase 7H category true_phrase_entry_missing; recommendation defer_for_human_review.""}]","[""phase7h_phrase_0003""]"
partial related terms only,"[""phrase_miss_review_v1"", ""phase7i_review_packet"", ""search_index_replay""]",Remain no-hit unless future reviewed dictionary or phrase evidence changes classification,should_remain_no_hit,Explicit non-action carry-forward from Phase 7H/7I.,"[""phase7h_classification"", ""no_auto_phrase_routing""]",15,à parts,Not equivalent to reviewed phrase or single-word part mapping.,,[],[],phase7j_gap_0013,rejected,,,medium,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""phrase_review"", ""ir_id"": ""phase7h_phrase_0008"", ""field_path"": ""shared/phrase_review/phrase_miss_review_v1.jsonl"", ""excerpt"": ""Phase 7H category should_remain_no_hit; recommendation reject_keep_no_hit.""}]","[""phase7h_phrase_0008""]"
partial related terms only,"[""phrase_miss_review_v1"", ""phase7i_review_packet"", ""search_index_replay""]",Remain no-hit unless future reviewed dictionary or phrase evidence changes classification,typo_noise,Explicit non-action carry-forward from Phase 7H/7I.,"[""phase7h_classification"", ""no_auto_phrase_routing""]",5,à part ças,Malformed typo of à part ça; approving would imply fuzzy correction.,,[],[],phase7j_gap_0014,rejected,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""phrase_review"", ""ir_id"": ""phase7h_phrase_0009"", ""field_path"": ""shared/phrase_review/phrase_miss_review_v1.jsonl"", ""excerpt"": ""Phase 7H category bad_query_typo_unsupported_phrase; recommendation reject_keep_no_hit.""}]","[""phase7h_phrase_0009""]"
miss,"[""gap_miner"", ""search_index_replay""]",Route plural 'fruits' to same postings as canonical singular 'fruit',reviewed_source_alias_candidate,Phase 7F precedent applies; singular=fruit.,"[""basic_vocabulary:+20"", ""canonical_entry_exists:+20"", ""low_ambiguity:+15"", ""low_implementation_risk:+10""]",65,fruits,Round 2 plural alias requires human review per source_alias_table_v1; must copy canonical singular posting set exactly without broadening targets.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""fruit"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""7cdb6070ce427a6d""], ""note"": ""Canonical singular source term.""}]","[""7cdb6070ce427a6d""]",phase7j_gap_0015,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""gap_miner"", ""ir_id"": """", ""field_path"": ""phase7j_miner_snapshot.jsonl"", ""excerpt"": ""miner candidate_type=plural_form_gap score=103 tier=tier_2_interesting_candidate""}, {""kind"": ""gloss"", ""ir_id"": ""0c28cb0938053091"", ""field_path"": ""senses[0].examples[0].trans_fr"", ""excerpt"": ""Sékou a courbé une branche (pour cueillir les fruits)""}, {""kind"": ""gloss"", ""ir_id"": ""e40694f99463f353"", ""field_path"": ""senses[1].examples[0].trans_fr"", ""excerpt"": ""les fruits verts de liane-caoutchouc deviennent jaunes en mûrissant""}]",[]
miss,"[""gap_miner"", ""search_index_replay""]",Route plural 'grains' to same postings as canonical singular 'grain',reviewed_source_alias_candidate,Phase 7F precedent applies; singular=grain.,"[""basic_vocabulary:+20"", ""canonical_entry_exists:+20"", ""low_ambiguity:+15"", ""low_implementation_risk:+10""]",65,grains,Round 2 plural alias requires human review per source_alias_table_v1; must copy canonical singular posting set exactly without broadening targets.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""grain"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""3971b2e32e2dfc1c""], ""note"": ""Canonical singular source term.""}]","[""3971b2e32e2dfc1c""]",phase7j_gap_0016,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""gap_miner"", ""ir_id"": """", ""field_path"": ""phase7j_miner_snapshot.jsonl"", ""excerpt"": ""miner candidate_type=plural_form_gap score=103 tier=tier_2_interesting_candidate""}, {""kind"": ""gloss"", ""ir_id"": ""37ce587b269c896e"", ""field_path"": ""senses[0].sub_entries[0].gloss_fr"", ""excerpt"": ""le poulet a picoré des grains (à l'intérieur d'un récipient)""}, {""kind"": ""gloss"", ""ir_id"": ""0b0a9c89228665be"", ""field_path"": ""senses[0].examples[0].trans_fr"", ""excerpt"": ""le poulet picore des grains""}]",[]
miss,"[""gap_miner"", ""search_index_replay""]",Route plural 'griots' to same postings as canonical singular 'griot',reviewed_source_alias_candidate,Phase 7F precedent applies; singular=griot.,"[""basic_vocabulary:+20"", ""canonical_entry_exists:+20"", ""low_ambiguity:+15"", ""low_implementation_risk:+10""]",65,griots,Round 2 plural alias requires human review per source_alias_table_v1; must copy canonical singular posting set exactly without broadening targets.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""griot"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""025ed3968e2bc6e3""], ""note"": ""Canonical singular source term.""}]","[""025ed3968e2bc6e3""]",phase7j_gap_0017,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""gap_miner"", ""ir_id"": """", ""field_path"": ""phase7j_miner_snapshot.jsonl"", ""excerpt"": ""miner candidate_type=plural_form_gap score=103 tier=tier_2_interesting_candidate""}, {""kind"": ""gloss"", ""ir_id"": ""515e87581567609f"", ""field_path"": ""senses[0].gloss_fr"", ""excerpt"": ""canne de chef de griots""}, {""kind"": ""gloss"", ""ir_id"": ""461d6c772676152d"", ""field_path"": ""senses[0].gloss_fr"", ""excerpt"": ""statut de doyen des griots""}]",[]
miss,"[""gap_miner"", ""search_index_replay""]",Route plural 'jambes' to same postings as canonical singular 'jambe',reviewed_source_alias_candidate,Phase 7F precedent applies; singular=jambe.,"[""basic_vocabulary:+20"", ""canonical_entry_exists:+20"", ""low_ambiguity:+15"", ""low_implementation_risk:+10""]",65,jambes,Round 2 plural alias requires human review per source_alias_table_v1; must copy canonical singular posting set exactly without broadening targets.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""jambe"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""251b2a72627a7ef9""], ""note"": ""Canonical singular source term.""}]","[""251b2a72627a7ef9""]",phase7j_gap_0018,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""gap_miner"", ""ir_id"": """", ""field_path"": ""phase7j_miner_snapshot.jsonl"", ""excerpt"": ""miner candidate_type=plural_form_gap score=103 tier=tier_2_interesting_candidate""}, {""kind"": ""gloss"", ""ir_id"": ""04a49d9a92d94f3b"", ""field_path"": ""senses[1].sub_entries[1].gloss_fr"", ""excerpt"": ""agiter ses jambes (en restant debout ou assis)""}, {""kind"": ""gloss"", ""ir_id"": ""c7fa185cf0707c8b"", ""field_path"": ""senses[0].gloss_fr"", ""excerpt"": ""paralysé des jambes, cul-de-jatte""}]",[]
miss,"[""gap_miner"", ""search_index_replay""]",Route plural 'mots' to same postings as canonical singular 'mot',reviewed_source_alias_candidate,Phase 7F precedent applies; singular=mot.,"[""basic_vocabulary:+20"", ""canonical_entry_exists:+20"", ""low_ambiguity:+15"", ""low_implementation_risk:+10""]",65,mots,Round 2 plural alias requires human review per source_alias_table_v1; must copy canonical singular posting set exactly without broadening targets.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""mot"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""1f9cbaa868644b73""], ""note"": ""Canonical singular source term.""}]","[""1f9cbaa868644b73""]",phase7j_gap_0019,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""gap_miner"", ""ir_id"": """", ""field_path"": ""phase7j_miner_snapshot.jsonl"", ""excerpt"": ""miner candidate_type=plural_form_gap score=103 tier=tier_2_interesting_candidate""}, {""kind"": ""gloss"", ""ir_id"": ""ad32c6920a2c23e1"", ""field_path"": ""senses[0].examples[0].trans_fr"", ""excerpt"": ""jurer, dire des gros mots""}, {""kind"": ""gloss"", ""ir_id"": ""873d149417c29350"", ""field_path"": ""senses[0].sub_entries[0].gloss_fr"", ""excerpt"": ""dire quelques mots au sujet de qqch""}]",[]
miss,"[""gap_miner"", ""search_index_replay""]",Route plural 'nuages' to same postings as canonical singular 'nuage',reviewed_source_alias_candidate,Phase 7F precedent applies; singular=nuage.,"[""basic_vocabulary:+20"", ""canonical_entry_exists:+20"", ""low_ambiguity:+15"", ""low_implementation_risk:+10""]",65,nuages,Round 2 plural alias requires human review per source_alias_table_v1; must copy canonical singular posting set exactly without broadening targets.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""nuage"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""9ca98df7409dde23""], ""note"": ""Canonical singular source term.""}]","[""9ca98df7409dde23""]",phase7j_gap_0020,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""gap_miner"", ""ir_id"": """", ""field_path"": ""phase7j_miner_snapshot.jsonl"", ""excerpt"": ""miner candidate_type=plural_form_gap score=103 tier=tier_2_interesting_candidate""}, {""kind"": ""gloss"", ""ir_id"": ""3cea333607bff656"", ""field_path"": ""senses[0].sub_entries[0].gloss_fr"", ""excerpt"": ""le ciel est couvert de nuages de plomb""}, {""kind"": ""gloss"", ""ir_id"": ""bba05cad60e4d095"", ""field_path"": ""senses[0].sub_entries[0].gloss_fr"", ""excerpt"": ""le ciel est couvert de nuages de plomb""}]",[]
miss,"[""gap_miner"", ""search_index_replay""]",Route plural 'parents' to same postings as canonical singular 'parent',reviewed_source_alias_candidate,Phase 7F precedent applies; singular=parent.,"[""basic_vocabulary:+20"", ""canonical_entry_exists:+20"", ""low_ambiguity:+15"", ""low_implementation_risk:+10""]",65,parents,Round 2 plural alias requires human review per source_alias_table_v1; must copy canonical singular posting set exactly without broadening targets.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""parent"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""5437cc8267a78303""], ""note"": ""Canonical singular source term.""}]","[""5437cc8267a78303""]",phase7j_gap_0021,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""gap_miner"", ""ir_id"": """", ""field_path"": ""phase7j_miner_snapshot.jsonl"", ""excerpt"": ""miner candidate_type=plural_form_gap score=93 tier=tier_2_interesting_candidate""}, {""kind"": ""gloss"", ""ir_id"": ""b1d5cf615b0a3a3f"", ""field_path"": ""senses[0].sub_entries[0].gloss_fr"", ""excerpt"": ""insulte des parents de l'époux ou de l'épouse""}, {""kind"": ""gloss"", ""ir_id"": ""34c73f2f3b560e78"", ""field_path"": ""senses[9].examples[0].trans_fr"", ""excerpt"": ""si quelqu'un a atteint l'âge de vingt ans et n'a pas appris à écrire, le tort est à ses parents""}]",[]
miss,"[""gap_miner"", ""search_index_replay""]",Route plural 'paroles' to same postings as canonical singular 'parole',reviewed_source_alias_candidate,Phase 7F precedent applies; singular=parole.,"[""basic_vocabulary:+20"", ""canonical_entry_exists:+20"", ""low_ambiguity:+15"", ""low_implementation_risk:+10""]",65,paroles,Round 2 plural alias requires human review per source_alias_table_v1; must copy canonical singular posting set exactly without broadening targets.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""parole"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""cf9e314229c86efc""], ""note"": ""Canonical singular source term.""}]","[""cf9e314229c86efc""]",phase7j_gap_0022,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""gap_miner"", ""ir_id"": """", ""field_path"": ""phase7j_miner_snapshot.jsonl"", ""excerpt"": ""miner candidate_type=plural_form_gap score=93 tier=tier_2_interesting_candidate""}, {""kind"": ""gloss"", ""ir_id"": ""d426e49d1e2ab3d9"", ""field_path"": ""senses[1].sub_entries[10].gloss_fr"", ""excerpt"": ""il contrôle bien ses paroles""}, {""kind"": ""gloss"", ""ir_id"": ""f0ca231a6fa2d876"", ""field_path"": ""senses[4].gloss_fr"", ""excerpt"": ""paroles vides, futiles discours""}]",[]
miss,"[""gap_miner"", ""search_index_replay""]",Route plural 'enfants' to same postings as canonical singular 'enfant',reviewed_source_alias_candidate,Phase 7F precedent applies; singular=enfant.,"[""basic_vocabulary:+20"", ""canonical_entry_exists:+20"", ""low_ambiguity:+15"", ""low_implementation_risk:+10""]",65,enfants,Round 2 plural alias requires human review per source_alias_table_v1; must copy canonical singular posting set exactly without broadening targets.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""enfant"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""99e6cda40390d1fb""], ""note"": ""Canonical singular source term.""}]","[""99e6cda40390d1fb""]",phase7j_gap_0023,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""gap_miner"", ""ir_id"": """", ""field_path"": ""phase7j_miner_snapshot.jsonl"", ""excerpt"": ""miner candidate_type=plural_form_gap score=91 tier=tier_2_interesting_candidate""}, {""kind"": ""gloss"", ""ir_id"": ""27405a4b09d4d4dc"", ""field_path"": ""senses[13].examples[0].trans_fr"", ""excerpt"": ""elle les aidait à élever leurs enfants""}, {""kind"": ""gloss"", ""ir_id"": ""84f600fb39b3e346"", ""field_path"": ""senses[2].sub_entries[0].gloss_fr"", ""excerpt"": ""les enfants ayant grandi suffisamment étaient initiés""}]",[]
